sentence_id,change_rate,before,after
0,1/161,On,besides
1,8/163,pulled,tugged
1,8/163,single,thick
1,8/163,That's,was
1,8/163,got,fixed
1,8/163,picked,hoisted
1,8/163,get,clear
1,8/163,My,i
1,8/163,hit,rounded
2,1/153,He'd,dave
3,3/167,continent,continents
3,3/167,The,there
3,3/167,polar,huge
4,1/110,alcohol,wine
5,1/159,said,told
6,2/133,The,this
6,2/133,IUPAC,cis
7,1/128,RPG,[UNK
8,12/156,People,individuals
8,12/156,say,therefore
8,12/156,What,it
8,12/156,know,said
8,12/156,dead,killed
8,12/156,cause,right
8,12/156,In,in
8,12/156,decades,ages
8,12/156,according,thanks
8,12/156,As,unlike
8,12/156,yet,personally
8,12/156,bringing,dragging
9,3/159,After,like
9,3/159,actually,once
9,3/159,include,like
10,15/163,force,mind
10,15/163,tied,dependent
10,15/163,also,either
10,15/163,understand,forget
10,15/163,much,blasted
10,15/163,There,some
10,15/163,individuals,people
10,15/163,company,corporation
10,15/163,helped,backed
10,15/163,The,the
10,15/163,receive,pay
10,15/163,account,accounts
10,15/163,Also,additionally
10,15/163,use,have
10,15/163,lending,loans
